FileType,FilePath,StartTime,EndTime,SensorA,SensorB
Picarro,04.22.2024\04_23_24_X_X.picarro,16-Apr-2024 20:10:00,16-May-2024 17:56:00,X,X
Picarro,10.10.2024\10_10_24_A_G.picarro,10-Oct-2024 00:58:35,11-Oct-2024 14:21:14,A,G
Licor,03_27_23_BLUE_YELLOW.licor,27-Mar-2024 09:21:41,27-Mar-2024 10:45:00,BLUE,YELLOW
Licor,03_28_YELLOW_WHITE.licor,28-Mar-2024 09:41:00,28-Mar-2024 13:00:00,YELLOW,WHITE
Licor,04_16_24_X_X.licor,16-Apr-2024 09:58:00,16-Apr-2024 11:23:43,X,X
Licor,05_17_24_X_X.licor,17-May-2024 09:00:00,17-May-2024 09:33:44,X,X
Licor,05_23_24_X_X.licor,23-May-2024 11:00:00,23-May-2024 11:12:00,X,X
Licor,06_16_24_E_C.licor,16-Jun-2024 11:00:00,18-Jun-2024 08:00:00,E,C
Licor,06_27_24_GREEN_X.licor,27-Jun-2023 11:18:00,29-Jun-2023 07:18:00,GREEN,X
Licor,07_05_24_E_C.licor,05-Jul-2024 10:36:53,08-Jul-2024 07:59:15,E,C
Licor,07_06_24_PINK_X.licor,06-Jul-2023 07:37:00,10-Jul-2023 08:36:00,PINK,X
Licor,07_09_24_E_C.licor,08-Jul-2024 09:45:00,09-Jul-2024 07:00:00,E,C
Licor,07_10_24_E_C.licor,10-Jul-2024 00:00:00,10-Jul-2024 10:00:00,E,C
Licor,07_30_24_X_X.licor,30-Jul-2024 00:00:00,01-Aug-2024 09:30:00,X,X
Licor,04.04.2024\04_04_24_X_X.licor,04-Apr-2024 08:29:21,04-Apr-2024 12:47:04,X,X
Licor,04.16.2024\04_16_24_X_X.licor,16-Apr-2024 09:03:10,16-Apr-2024 23:59:00,X,X
Licor,06.12.2024\06_12_24_X_X.licor,12-Jun-2024 08:32:00,12-Jun-2024 09:43:00,X,X
Licor,06.16.2024\06_16_24_C_E.licor,16-Jun-2024 11:00:00,18-Jun-2024 08:00:00,C,E
Licor,07.05.2024\07_05_24_E_C.licor,05-Jul-2024 10:36:53,08-Jul-2024 07:59:15,E,C
Licor,07.08.2024\07_08_24_E_C.licor,08-Jul-2024 09:45:00,09-Jul-2024 07:00:00,E,C
Licor,07.09.2024\07_10_24_E_C.licor,10-Jul-2024 00:00:00,10-Jul-2024 10:00:00,E,C
DAQ,03_27_23_BLUE_WHITE.daq,27-Mar-2024 09:33:00,27-Mar-2024 10:47:52,BLUE,WHITE
DAQ,03_28_23_YELLOW_WHITE.daq,28-Mar-2024 10:35:50,28-Mar-2024 10:38:28,YELLOW,WHITE
DAQ,05_07_24_X_X.daq,22-Apr-2024 11:44:10,07-May-2024 09:31:20,X,X
DAQ,06_16_24_E_C.daq,16-Jun-2024 11:18:26,18-Jun-2024 07:47:52,E,C
DAQ,06_27_24_GREEN_X.daq,27-Jun-2023 11:18:00,29-Jun-2023 07:18:00,GREEN,X
DAQ,07_06_24_PINK_X.daq,06-Jul-2023 07:37:00,10-Jul-2023 08:36:00,PINK,X
DAQ,08_30_24_A_G.daq,30-Aug-2024 09:28:31,30-Aug-2024 23:59:58,A,G
DAQ,08_31_24_A_G.daq,31-Aug-2024 00:00:01,31-Aug-2024 23:59:59,A,G
DAQ,09_01_24_A_G.daq,01-Sep-2024 00:00:02,01-Sep-2024 23:59:57,A,G
DAQ,09_02_24_A_G.daq,02-Sep-2024 00:00:00,02-Sep-2024 23:59:57,A,G
DAQ,09_03_24_A_G.daq,03-Sep-2024 00:00:00,03-Sep-2024 23:59:57,A,G
DAQ,09_04_24_A_G.daq,04-Sep-2024 00:00:00,04-Sep-2024 09:12:46,A,G
DAQ,10_01_A_X.daq,01-Oct-2024 14:07:30,01-Oct-2024 16:42:35,A,X
DAQ,10_04_A_X.daq,04-Oct-2024 08:13:02,04-Oct-2024 23:59:57,A,X
DAQ,10_10_24_A_G.daq,10-Oct-2024 11:09:01,10-Oct-2024 23:59:58,A,G
DAQ,12_7_23_X_X.daq,07-Dec-2023 12:37:27,07-Dec-2023 12:22:04,X,X
DAQ,04.04.2024\04_04_24_X_X.daq,01-Jan-2000 01:02:33,01-Jan-2000 02:56:48,X,X
DAQ,04.16.2024\04_16_24_X_X.daq,16-Apr-2024 00:40:56,16-Apr-2024 00:28:30,X,X
DAQ,04.22.2024\04_22_24_X_X.daq,22-Apr-2024 11:44:10,07-May-2024 09:31:20,X,X
DAQ,04.22.2024\04_23_24_X_X.daq,22-Apr-2024 11:44:10,15-May-2024 08:07:12,X,X
DAQ,06.12.2024\06_12_24_X_X.daq,01-Jan-2000 00:00:00,01-Jan-2000 01:10:53,X,X
DAQ,06.16.2024\06_16_24_C_E.daq,16-Jun-2024 11:18:31,18-Jun-2024 07:47:52,C,E
DAQ,07.05.2024\07_05_24_E_C.daq,05-Jul-2024 10:52:00,07-Jul-2024 07:12:16,E,C
DAQ,07.08.2024\07_08_24_E_C.daq,08-Jul-2024 09:33:09,08-Jul-2024 23:59:57,E,C
DAQ,07.08.2024\07_09_24_E_C.daq,09-Jul-2024 00:00:00,09-Jul-2024 06:58:15,E,C
DAQ,07.09.2024\07_09_24_E_C.daq,09-Jul-2024 07:22:19,09-Jul-2024 23:59:57,E,C
DAQ,07.09.2024\07_10_24_E_C.daq,10-Jul-2024 00:00:00,10-Jul-2024 06:35:41,E,C
DAQ,10.10.2024\10_10_24_A_G.daq,10-Oct-2024 11:09:01,10-Oct-2024 23:59:58,A,G
