Model:	LI-7810
SN:	TG10-01524
Software Version:	2.3.5
Timestamp:	2024-07-17 07:49:27
Timezone:	US/Mountain
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1721230800	563359022	26545	0	""	2024-07-17	09:40:00	14852.965	444.20062	1967.5154	40.8685	55.0003	29.2613	51.1578	0.00289796	10.834	54.5005	-68.75	0.28126	16.1	164
DATA	1721230801	563359022	26549	0	""	2024-07-17	09:40:01	14858.88	444.20639	1968.7522	40.8702	55.0003	29.2593	51.1578	0.00291176	10.8364	54.5005	-44.75	0.28126	16.0992	 73
DATA	1721230802	563016891	26553	0	""	2024-07-17	09:40:02	14864.239	441.05942	1968.3524	40.8689	55.0003	29.2593	51.1578	0.00291372	10.8384	54.5005	42	0.28126	16.0988	186
DATA	1721230803	563016891	26557	0	""	2024-07-17	09:40:03	14868.444	440.85431	1966.9454	40.8685	55.0003	29.2605	51.1578	0.00297927	10.8363	54.5005	26.5	0.28126	16.0988	 44
DATA	1721230804	563016891	26561	0	""	2024-07-17	09:40:04	14871	441.57507	1967.476	40.8697	55.0003	29.2601	51.1578	0.00297006	10.8346	54.5005	27.75	0.28126	16.0984	 81
DATA	1721230805	563016891	26565	0	""	2024-07-17	09:40:05	14882.08	441.4743	1968.1368	40.8689	55.0003	29.2626	51.1578	0.00291453	10.8356	54.5005	-17.75	0.28126	16.0988	 36
DATA	1721230806	563016891	26569	0	""	2024-07-17	09:40:06	14879.07	441.91959	1968.1072	40.8689	55.0003	29.2626	51.1578	0.00291066	10.8351	54.5005	-19	0.28126	16.0992	196
DATA	1721230807	563016891	26573	0	""	2024-07-17	09:40:07	14880.295	445.73792	1968.0612	40.8693	55.0003	29.2605	51.1578	0.0028858	10.8348	54.5005	-26.25	0.28126	16.0988	 93
DATA	1721230808	563016891	26577	0	""	2024-07-17	09:40:08	14886.112	443.62112	1967.2648	40.8697	55.0001	29.2593	51.1576	0.00292279	10.8352	54.5005	-42.25	0.28126	16.0984	128
DATA	1721230809	562669038	26581	0	""	2024-07-17	09:40:09	14891.299	441.36737	1967.4148	40.8702	55.0003	29.2593	51.1578	0.00289525	10.836	54.5005	-13.5	0.28126	16.0976	 43
DATA	1721230810	562669038	26585	0	""	2024-07-17	09:40:10	14887.343	441.8075	1967.5491	40.8697	55.0003	29.2617	51.1576	0.00290963	10.8346	54.5005	155.75	0.28126	16.0976	 97
DATA	1721230811	562669038	26589	0	""	2024-07-17	09:40:11	14900.57	445.98633	1967.9688	40.8681	55.0003	29.2654	51.1576	0.00288032	10.8377	54.5005	-110.75	0.28126	16.0968	145
DATA	1721230812	562669038	26593	0	""	2024-07-17	09:40:12	14899.044	444.56396	1968.6003	40.8693	55.0001	29.2638	51.1578	0.00292457	10.8358	54.5005	110	0.28126	16.0972	243
DATA	1721230813	562669038	26597	0	""	2024-07-17	09:40:13	14903.652	440.43503	1968.623	40.8697	54.9999	29.2638	51.1578	0.0028975	10.8358	54.5005	-153	0.28126	16.0972	220
DATA	1721230814	562669038	26601	0	""	2024-07-17	09:40:14	14906.85	443.81006	1967.1602	40.8697	55.0001	29.2622	51.1578	0.00325841	10.8353	54.5005	0.75	0.28126	16.0976	213
DATA	1721230815	562669038	26605	0	""	2024-07-17	09:40:15	14908.165	442.8623	1968.1534	40.8702	54.9999	29.2613	51.1578	0.00294418	10.8366	54.5005	-86.25	0.28126	16.0968	105
DATA	1721230816	562669038	26609	0	""	2024-07-17	09:40:16	14917.925	440.62115	1967.5146	40.8693	54.9995	29.2597	51.1578	0.00293499	10.835	54.5005	-66.75	0.28126	16.1007	116
DATA	1721230817	562319993	26613	0	""	2024-07-17	09:40:17	14915.985	442.20078	1969.3846	40.8697	54.9997	29.2576	51.1578	0.00287574	10.8387	54.5005	76	0.28126	16.0988	  7
DATA	1721230818	562319993	26617	0	""	2024-07-17	09:40:18	14924.582	440.90311	1967.9596	40.8702	55.0001	29.2593	51.1578	0.00293333	10.8356	54.5005	23.25	0.28126	16.098	 32
DATA	1721230819	562319993	26621	0	""	2024-07-17	09:40:19	14922.912	444.55551	1967.004	40.8702	54.9999	29.2601	51.1578	0.00290815	10.8359	54.5005	-94	0.28126	16.0984	203
DATA	1721230820	562319993	26625	0	""	2024-07-17	09:40:20	14936.484	443.07382	1967.6299	40.8689	54.9999	29.2593	51.1578	0.00292605	10.8351	54.5005	83.25	0.28126	16.0988	133
DATA	1721230821	562319993	26629	0	""	2024-07-17	09:40:21	14939.538	440.12909	1967.7898	40.8697	55.0003	29.2605	51.1578	0.00293513	10.8353	54.5005	-100	0.28126	16.0976	 39
DATA	1721230822	562319993	26633	0	""	2024-07-17	09:40:22	14947.741	441.72275	1968.5872	40.8693	55.0003	29.2597	51.1578	0.00295649	10.8366	54.5005	9.5	0.28126	16.0984	 12
DATA	1721230823	562319993	26637	0	""	2024-07-17	09:40:23	14941.6	442.44174	1967.535	40.8697	55.0003	29.2584	51.1578	0.00293183	10.8361	54.5005	51.5	0.28126	16.098	 85
DATA	1721230824	561975955	26641	0	""	2024-07-17	09:40:24	14948.844	439.90527	1967.9594	40.8697	55.0003	29.2601	51.1578	0.00291609	10.8356	54.5007	82.5	0.28126	16.0984	 68
DATA	1721230825	561975955	26645	0	""	2024-07-17	09:40:25	14952.108	443.42294	1968.0409	40.8693	55.0003	29.2584	51.1578	0.00294808	10.834	54.5005	-6.75	0.28126	16.0976	 44
DATA	1721230826	561975955	26649	0	""	2024-07-17	09:40:26	14961.618	442.07755	1968.4219	40.871	55.0003	29.2589	51.1578	0.00288014	10.8342	54.5005	-109.25	0.28126	16.098	 92
DATA	1721230827	561975955	26653	0	""	2024-07-17	09:40:27	14957.263	441.16315	1968.2333	40.8706	55.0003	29.2564	51.1576	0.0029055	10.8351	54.5005	41.25	0.28126	16.0972	 21
DATA	1721230828	561975955	26657	0	""	2024-07-17	09:40:28	14967.067	442.30057	1966.9111	40.8697	55.0003	29.258	51.1578	0.00297497	10.8362	54.5005	47.5	0.28126	16.0968	 18
DATA	1721230829	561975955	26661	0	""	2024-07-17	09:40:29	14978.158	440.4856	1968.3389	40.8702	55.0003	29.2568	51.1576	0.003363	10.8361	54.5005	-95.75	0.28126	16.0964	  7
DATA	1721230830	561975955	26665	0	""	2024-07-17	09:40:30	14978.567	439.64459	1967.6113	40.8689	55.0003	29.2556	51.1576	0.00296491	10.8364	54.5005	134.25	0.28126	16.0968	169
