LicorFile,DAQFile,OverlapStart,OverlapEnd,OverlapDuration,Type,Sensor A,Sensor B
06_16_24_E_C.licor,06_16_24_E_C.daq,6/16/2024 11:18,6/18/2024 7:47,44:29:26,CL,C,E
06.16.2024/licor.licor,06_16_24_E_C.daq,6/16/2024 11:18,6/18/2024 7:47,44:29:26,CL,C,E
06_16_24_E_C.licor,06.16.2024/daq.daq,6/16/2024 11:18,6/18/2024 7:47,44:29:21,CL,C,E
06.16.2024/licor.licor,06.16.2024/daq.daq,6/16/2024 11:18,6/18/2024 7:47,44:29:21,CL,C,E
07_05_24_E_C.licor,07.05.2024/daq_TS_FIX.daq,7/6/2024 20:20,7/7/2024 7:12,10:52:00,CL,E,C
07.05.2024/licor.licor,07.05.2024/daq_TS_FIX.daq,7/6/2024 20:20,7/7/2024 7:12,10:52:00,CL,E,C
07_09_24_E_C.licor,07.08.2024/daq_7_8_24.daq,7/8/2024 23:00,7/8/2024 23:59,14:14:57,CL,E,C
07.08.2024/licor.licor,07.08.2024/daq_7_8_24.daq,7/8/2024 23:00,7/8/2024 23:59,14:14:57,CL,E,C
07_09_24_E_C.licor,07.08.2024/daq_7_9_24.daq,7/9/2024 0:00,7/9/2024 6:58,6:58:15,AMB,E,C
07.08.2024/licor.licor,07.08.2024/daq_7_9_24.daq,7/9/2024 0:00,7/9/2024 6:58,6:58:15,AMB,E,C
07_10_24_E_C.licor,07.09.2024/24_07_10.daq,7/10/2024 0:00,7/10/2024 6:35,6:35:41,AMB,E,C
07.09.2024/licor_7_10_24.licor,07.09.2024/24_07_10.daq,7/10/2024 0:00,7/10/2024 6:35,6:35:41,AMB,E,C
