MS,Q,CA,TA,HA,CB,TB,HB
45,470.82,221,23.4,13,1020,23.8,21
3111,360.48,222,23.4,13,1025,23.8,22
6179,867.25,222,23.4,13,1035,23.8,23
9251,978.06,223,23.4,13,1050,23.9,24
12319,875.35,225,23.4,13,1074,23.9,26
15388,291.5,229,23.4,13,1107,23.9,28
18456,275.8,233,23.4,13,1151,23.9,30
21525,986.28,240,23.4,13,1204,23.9,33
24593,1138.28,250,23.4,14,1266,23.9,35
27662,314.13,263,23.4,14,1332,24,38
30730,338.71,279,23.4,14,1400,24,41
33798,819.74,297,23.4,15,1468,24,43
36867,755.1,318,23.4,15,1530,23.9,46
39938,325.68,340,23.4,15,1585,24,48
43005,1333.32,363,23.4,16,1630,24,50
46073,60.47,385,23.4,16,1666,24,52
49141,1010.68,407,23.4,16,1692,24.1,53
52209,51.15,426,23.4,17,1710,24.2,55
55277,825.86,443,23.4,17,1718,24.2,56
58346,979.36,458,23.4,18,1721,24.1,57
61414,466.88,469,23.4,18,1720,24.1,58
64482,12.01,478,23.4,19,1716,24.1,59
67550,765.05,484,23.4,20,1709,24.1,60
70619,754.26,488,23.4,20,1701,24.1,61
73689,623.09,489,23.4,21,1692,24,62
76758,238.91,489,23.4,21,1683,24.1,62
79825,953.87,487,23.4,21,1672,24.2,63
82894,401.44,483,23.5,22,1662,24.2,64
85962,657.95,479,23.5,22,1651,24.3,64
89031,1117.31,473,23.5,23,1639,24.3,65
92099,306.04,467,23.5,23,1627,24.3,65
95167,238.91,460,23.5,23,1614,24.3,66
98235,358.06,454,23.5,24,1599,24.3,66
101302,1206.77,449,23.5,24,1585,24.3,67
104371,457.92,445,23.5,25,1571,24.4,67
107443,155.22,441,23.5,25,1558,24.2,67
110511,590.55,437,23.5,25,1543,24.4,67
113579,973.23,432,23.5,25,1531,24.4,68
116647,272.52,427,23.5,26,1519,24.4,68
119715,283.58,421,23.5,26,1509,24.4,68
122783,704.45,416,23.5,26,1499,24.4,68
125852,790.19,409,23.5,26,1490,24.3,69
128921,207.49,404,23.5,26,1481,24.4,69
131989,1253.51,400,23.5,27,1473,24.3,69
135058,379.79,396,23.5,27,1463,24.3,69
138129,322.42,391,23.5,27,1458,24.4,69
141198,693.45,389,23.5,27,1453,24.4,70
144266,1178.24,388,23.5,27,1450,24.4,70
147335,203.06,386,23.5,28,1447,24.4,70
150403,400.56,384,23.5,28,1443,24.4,70
153472,930.48,381,23.4,28,1439,24.4,70
156540,564.65,380,23.4,28,1434,24.4,71
159608,431.77,379,23.4,28,1429,24.5,71
162677,622.53,377,23.4,28,1424,24.4,71
165744,516.92,376,23.4,28,1419,24.5,71
168812,198.67,375,23.5,29,1413,24.4,71
171883,769.47,375,23.5,29,1407,24.5,71
174952,1095.35,373,23.5,29,1404,24.5,71
178020,191.63,372,23.5,29,1399,24.4,71
181088,542.18,369,23.5,29,1396,24.5,71
184156,1539.84,368,23.5,29,1392,24.5,72
187226,523.76,367,23.5,29,1389,24.4,72
190294,145.65,365,23.5,29,1386,24.5,72
193361,850.48,364,23.5,30,1385,24.5,72
196430,1004.66,363,23.5,30,1383,24.5,72
199498,275.12,364,23.5,30,1381,24.5,72
202569,129.43,365,23.5,30,1380,24.5,72
205638,776.24,366,23.5,30,1379,24.5,72
208707,792.53,367,23.5,30,1377,24.6,72
211775,851.29,368,23.5,30,1374,24.6,73
214844,266.81,369,23.5,30,1371,24.5,73
217912,724.97,370,23.5,30,1367,24.5,73
220980,449,369,23.5,30,1362,24.5,73
224048,403.91,367,23.5,30,1357,24.5,73
227116,440.98,364,23.5,30,1351,24.6,73
230183,129.38,361,23.5,30,1346,24.6,73
233254,712.39,357,23.5,31,1342,24.5,73
236323,1030.74,351,23.5,31,1339,24.6,73
239392,223.25,346,23.5,31,1337,24.5,73
242461,414.87,342,23.5,31,1335,24.5,73
